jahrgang,ausgabe,typ,ueberschrift,dateiname
1929,1,artikel,Was wir wollen!,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Der Osnabrücker Theaterkonflikt.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Reformmedizin gegen Staatsmedizin.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,DIE LATERNE,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Die Besiedlungsvorgänge im Osnabrückischen,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Ein Riesensteuerschwindel mit Wissen des Reichsfinanzministeriums.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Die Krankenkassen.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Warnungstafel.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,An Kindern wird zu Versuchszwecken die lebensgefährliche Rückenmarkspunktion,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Unser Hausarzt.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Ausflüge und Spaziergänge am Sonntag.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Bücherschau.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Aus der Welt der Wunder.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,1,artikel,Briefkasten.,OCR 1. 1929 komplett Stadtwächter.pdf
1929,13,artikel,Bar-Darlehen Hypotheken Kredite aller Art durch die Allgemeine,OCR 13 1929 Korrekt.pdf
1929,14,artikel,Stresemann in eine ungeheure Korruptionsgeschichte verwickelt.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Massenelend als Folge des jüdischen Kapitalismus,OCR 14 1929 korrekt.pdf
1929,14,artikel,Sozialdemokratie und Schuldlüge.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Jüdische Mache gegen Münchmeyer.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Mittelstand in Not.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Luther über die Juden.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Republikanisches Mixpickel.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Die Frau in astrologischer Betrachtung.*),OCR 14 1929 korrekt.pdf
1929,14,artikel,Glossen.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Der Wasserkopf der Reichssteuerverwaltung.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Mittelstand wehre Dich!,OCR 14 1929 korrekt.pdf
1929,14,artikel,Was sagt die Leserschaft?,OCR 14 1929 korrekt.pdf
1929,14,artikel,Der Dank des Vaterlandes ist euch gewiß!,OCR 14 1929 korrekt.pdf
1929,14,artikel,Lokales.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Bekanntmachung.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Geschäftliches.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Briefkasten.,OCR 14 1929 korrekt.pdf
1929,14,artikel,Bar-Darlehen Hypotheken Kredite aller Art durch die Allgemeine,OCR 14 1929 korrekt.pdf
1929,15,artikel,Rechnungshof und Verschwendung von Reichsgeldern Die Erschütterung der deutschen,OCR 15 1929 korrekt.pdf
1929,15,artikel,Währung Paul Erich Remark im Krieg? / Die Affäre des Juden Kloz.,OCR 15 1929 korrekt.pdf
